Row,addiction,arithmetic,arousal,attention,aversive,decisionMaking,defaultMode,emotions,eyeMovements,face,food,hearing,heartRate,imagery,language,memory,movement,navigation,pain,planning,pleasant,reading,reward,sleep,sound,spatial,tapping,theoryMind,touch,vision
myelencephalon,0.4984273612499237,1.7068677493625728e-07,0.5368450284004211,6.597144190317626e-31,0.0009619374177418649,2.6330667087200974e-26,4.488709449768066,0.8510369658470154,0.010665347799658775,4.7739312503125575e-12,0.6062334179878235,2.4604480266571045,11.34351921081543,0.00013535740436054766,1.321072808438406e-12,2.830649270535446e-09,3.3862240314483643,2.687520980834961,11.204190254211426,0.0014009580481797457,1.557363510131836,3.0324163180495134e-09,5.049460014561191e-05,6.88618803024292,7.747074296903921e-15,3.1425273494534167e-10,0.0003537744050845504,4.488036155700684,1.4580010943614978e-15,2.8571794246090576e-05
nucleus accumbens,7.640105247497559,1.1002464361808961e-06,3.3807201385498047,3.6478764275262027e-17,5.7195048332214355,8.549179077148438,6.386852713369251e-10,3.270220361173415e-08,3.257979719339943e-10,3.810079363120167e-08,5.221496105194092,7.261472002308925e-15,4.366118275811459e-07,8.211284097114913e-09,3.414229610143593e-08,2.2501511573791504,6.840068817837164e-05,1.2908422946929932,2.814831256866455,3.695349050758523e-06,2.9450008869171143,2.245115648946694e-09,27.47136878967285,2.368493369431235e-06,4.330825692571422e-18,3.8295122067211196e-05,1.646492592044524e-06,1.7920181960562331e-07,9.742852141378378e-14,1.8628489883009428e-16
occipital pole,4.070246917287079e-10,1.7071208953857422,8.708080713404343e-05,4.496542453765869,4.395114421844482,0.00020408935961313546,5.231781005859375,1.5937941074371338,6.1723198890686035,8.038559913635254,0.737607479095459,3.046204090118408,0.018850788474082947,5.604471683502197,4.880825996398926,6.62646484375,1.7418227195739746,4.494106769561768,2.3812243938446045,1.6957688331604004,0.8998569250106812,7.988042831420898,0.0335148349404335,3.6950739286112366e-06,0.5100080370903015,7.549267292022705,0.46932634711265564,0.035981811583042145,4.622123718261719,7.509296894073486
occipito-temporal gyrus,0.0035966921132057905,4.2247972942277556e-07,0.0011542243883013725,0.00196517794393003,0.0002858174266293645,8.929759331977039e-08,4.882136821746826,8.37099456418855e-09,4.564329624176025,3.1815052032470703,1.3426768779754639,0.28006285429000854,0.00025655562058091164,5.035388469696045,2.9660279750823975,5.682448387145996,0.011909701861441135,9.024005889892578,3.9583942452736665e-06,2.403045940013726e-08,0.27216386795043945,5.287502288818359,2.526726711948868e-05,3.682337990085216e-09,0.0001906651450553909,2.7413086891174316,6.861890869913623e-05,0.02335245907306671,2.9086569264258344e-10,3.772125482559204
orbital gyrus,7.493117332458496,6.162378787994385,6.529892444610596,0.2771625816822052,8.125312805175781,7.893991470336914,11.881674766540527,4.290699481964111,0.28773757815361023,4.476227760314941,11.21861457824707,0.0346219427883625,5.666098117828369,0.8560645580291748,11.702483177185059,8.901873588562012,0.5525181293487549,2.8351197242736816,5.006563186645508,2.079448938369751,5.469046592712402,6.864816188812256,25.3134765625,1.7936182022094727,0.7559338808059692,0.004677277058362961,0.010646529495716095,6.908935070037842,0.005580560769885778,9.730960925935506e-08
paracentral lobule,0.2915506362915039,1.097687274409509e-07,0.05821031332015991,9.371800115332007e-05,0.0008939002291299403,0.08259642869234085,1.104028344154358,1.1030735549866222e-05,1.6788583993911743,4.3009255949694674e-17,0.002060016617178917,0.4340357482433319,1.619034810573794e-05,5.510138034820557,5.280986670186394e-07,3.6738474369049072,10.62943172454834,3.570521116256714,6.36600923538208,3.9116785526275635,1.905738281493541e-05,2.972043148474768e-06,3.378530095687893e-07,2.4573650989623275e-06,1.1410887736928998e-06,0.006831530947238207,3.7486891746520996,0.003371527651324868,4.836039066314697,0.00011922626435989514
parahippocampal gyrus,6.729110850756115e-07,1.820631284621399e-10,6.456299304962158,1.0079436473516895e-17,10.151911735534668,0.00019107834668830037,7.230396747589111,8.643153190612793,8.552357030566782e-05,7.8980560302734375,4.959321975708008,5.7744404330151156e-05,3.3360610008239746,0.0005831437883898616,0.0002625772322062403,11.457706451416016,1.896666617540177e-05,9.7428560256958,4.40419340133667,6.948588926469768e-11,6.290057182312012,0.00024040952848736197,7.507359504699707,2.0999088519602083e-05,8.989210300569539e-07,2.548916816711426,2.2978463221079437e-06,1.6435050964355469,1.681197264735701e-10,0.0011196425184607506
parolfactory gyri,7.16971492767334,0.0002147860504919663,4.558511734008789,4.116723325163545e-16,6.644930839538574,8.594837188720703,1.965622901916504,2.3564963340759277,0.011739790439605713,0.530021607875824,6.660557746887207,1.1202260646880902e-10,3.27663254737854,0.0030589730013161898,0.00035366599331609905,8.554883003234863,4.4062323570251465,1.4850573961666669e-06,4.1450653076171875,1.8928234567283653e-05,0.5519444346427917,3.3932703900063643e-06,24.272567749023438,2.0943850820298593e-11,1.4467194803247097e-12,1.38823483958328e-11,1.9935603141784668,2.500934600830078,9.479404980083928e-05,8.729845968021618e-15
planum polare,2.984045233134225e-09,7.963781543940396e-12,6.947985649108887,9.923122267190953e-15,10.318455696105957,5.162674278835766e-05,0.008742711506783962,6.855565071105957,5.95962192164734e-05,6.692203998565674,5.360524654388428,6.678070068359375,1.8487772941589355,2.1995151042938232,5.577116012573242,8.25328540802002,5.258017539978027,0.00018708578136283904,8.838823318481445,7.095365435816348e-05,5.939007759094238,1.4174220561981201,2.5318410396575928,2.8000237941741943,7.694790363311768,1.9428490002378453e-15,3.0974342823028564,3.914782762527466,4.696772575378418,2.157238926066892e-14
planum temporale,5.7215635631017656e-15,1.1076120244979393e-05,1.8442466442891714e-09,2.203022003173828,2.110023888235446e-05,9.653819788314473e-18,0.003098502056673169,0.00372258760035038,0.7512573599815369,0.0036478079855442047,7.850057825997681e-10,9.637267112731934,9.56476009505991e-11,5.22988748550415,9.343619346618652,5.887444496154785,6.8517537117004395,5.4430211093858816e-06,5.965006351470947,2.071716070175171,3.110444231424481e-05,6.829927921295166,1.2350892530932356e-10,8.702105702695917e-11,15.811115264892578,0.00017444600234739482,5.775401592254639,7.7784199714660645,5.174609184265137,3.0901079177856445
pontine tegmentum,0.0384155809879303,0.3103346824645996,1.2094160318374634,2.7135022847626144e-23,5.900679111480713,9.164876197517128e-20,0.019266417250037193,0.0025717713870108128,0.0016641422407701612,9.50589496007126e-10,1.7326375246047974,1.9246799945831299,11.34351921081543,3.769713878631592,4.5599205122925923e-07,3.788628578186035,3.948042631149292,1.587342381477356,11.204190254211426,0.5158059000968933,0.011719155125319958,4.641920980930081e-08,1.8442093133926392,6.899079322814941,7.88996146638965e-07,9.465972450328763e-10,8.388041896978393e-05,0.003462067572399974,1.1633088936591207e-09,8.12735478916693e-09
postcentral gyrus,2.920500082836952e-05,5.820097923278809,3.2534894943237305,0.002096591517329216,0.0005272410344332457,0.48705074191093445,0.012661081738770008,4.498344898223877,7.422183513641357,1.3226242323582937e-09,4.425812721252441,8.694364547729492,0.32606932520866394,6.367495536804199,7.395012855529785,6.357143878936768,14.596871376037598,1.7273818254470825,14.575345993041992,5.117745399475098,4.4238104820251465,7.030074596405029,0.5660645961761475,0.003378954716026783,14.088438034057617,6.761902809143066,12.610758781433105,2.0213592052459717,9.904654502868652,4.131322383880615
precentral gyrus,0.007578373420983553,5.183970928192139,3.285703420639038,5.266849517822266,2.264289617538452,3.3455357551574707,7.976166671141982e-06,4.8754448890686035,11.71489429473877,1.698263168334961,6.072356700897217,6.9051947593688965,5.496034622192383,7.343169212341309,12.049911499023438,4.65464448928833,14.89239501953125,4.288794040679932,11.675873756408691,8.062527656555176,4.400949001312256,10.129287719726562,2.3148622512817383,0.0006370324408635497,7.345336437225342,7.773886680603027,12.27125072479248,1.6449750661849976,5.663673400878906,3.2634971141815186
precuneus,0.015873784199357033,3.9344489574432373,5.271716872812249e-05,5.016415596008301,2.2104625701904297,0.1840403825044632,10.930403709411621,0.00012040267029078677,6.123319625854492,4.749397817249701e-07,2.8220456527172644e-10,4.289292335510254,1.8620327711105347,6.260808944702148,2.807659149169922,7.325274467468262,5.612583160400391,7.6605544090271,5.5082879066467285,5.452244281768799,4.851659774780273,4.936883926391602,0.42751747369766235,0.0006725241546519101,7.892867870396003e-08,7.917129993438721,0.013362083584070206,11.387040138244629,5.866911888122559,6.454580307006836
putamen,5.051921367645264,0.605984091758728,3.944249153137207,1.4875277543069387e-07,5.286970138549805,8.594837188720703,3.921586166910629e-09,0.03027092106640339,3.623340606689453,0.02475079894065857,5.4418253898620605,0.0001747017668094486,0.10090874880552292,5.245177268981934,2.371121406555176,9.852755546569824,10.476545333862305,0.39316031336784363,5.605859279632568,1.7588272094726562,0.08440832048654556,1.3626571893692017,24.526365280151367,1.2775596380233765,8.69589057401754e-05,7.333715412727315e-09,7.105884075164795,8.297502063214779e-05,0.0009520288440398872,3.0283958674104383e-10
red nucleus,5.500144004821777,2.483739938979185e-13,1.7772302627563477,3.8470833524277393e-35,4.871544361114502,1.1873935168438265e-09,1.019920536915464e-10,2.8727388780680485e-05,1.6998430441006462e-11,9.251788224418078e-10,3.302334785461426,1.3163544690039664e-12,0.004241879563778639,1.4120089819602555e-10,1.971219738080911e-19,1.917705994003427e-10,0.8368384838104248,1.2355872058833484e-07,5.996644020080566,4.565691116399089e-19,0.005378688219934702,1.0629018498686804e-11,10.334125518798828,1.1776539743379999e-08,2.4251243235795528e-09,4.1520206597953774e-14,6.3680217863293365e-06,2.4692948130677905e-08,1.2779827140200358e-17,5.724622165192983e-12
subcallosal cingulate gyrus,6.0935773849487305,0.7771281599998474,5.976099014282227,1.2039392131305154e-17,4.577890396118164,5.065289497375488,6.806411266326904,0.5041988492012024,1.0001925977438757e-14,0.3456971049308777,4.913378715515137,2.1134750838314176e-08,4.649477481842041,1.2799054616152716e-07,9.005425571917414e-11,2.3274548053741455,4.634919434920448e-07,0.008015674538910389,5.086259841918945,8.191733286366798e-06,3.8709940910339355,6.420435797599433e-12,15.524321556091309,6.618336101382738e-06,4.631164921090622e-15,1.688732851334862e-07,5.701356826648407e-07,0.745037853717804,1.0333504052439935e-09,5.45735711395684e-13
substantia nigra,0.017177071422338486,2.87620916319614e-16,1.633840560913086,6.860430415844604e-33,0.008411243557929993,2.9718134442191513e-07,2.1067481092984508e-11,4.1985890675277915e-06,2.6131510150184667e-12,1.117344345402671e-05,3.1146340370178223,8.243647084404948e-12,0.0006500463350676,5.6190096131558676e-08,3.504434375758892e-17,4.9957364467445586e-08,3.7976527214050293,6.720413239236223e-07,3.840780019760132,2.5665720871021532e-15,0.028833696618676186,6.884886410984947e-11,10.942425727844238,1.3034252788202139e-08,3.526459124714165e-08,6.282140555506502e-15,0.0007596967625431716,1.2965485893801088e-06,1.950612652769472e-18,7.080221825495059e-11
subthalamic nucleus,6.0520840634126216e-05,1.599633896988363e-15,0.0006522052572108805,1.3376757782625824e-31,0.06711452454328537,2.3394811421439954e-07,5.307380333762174e-16,1.831362617110699e-08,2.8209004210755402e-14,4.411552083638526e-07,0.00017020969244185835,6.596985878374478e-16,1.102269561670255e-05,3.5316311368660536e-06,6.82092974292549e-16,4.378989615361206e-09,0.024005882441997528,9.823986069079638e-11,5.328936576843262,1.7887678837807757e-16,0.0007554476032964885,2.6373252470790476e-09,5.5947957038879395,4.737602310456168e-09,1.6317946993638088e-10,3.575217108042067e-13,9.19138255994767e-06,4.9454787487412943e-11,1.9296897809194332e-17,1.2692444480415926e-13
superior frontal gyrus,0.38362595438957214,5.387887477874756,4.59198522567749,5.531060218811035,1.532232642173767,3.996959924697876,9.401848793029785,4.686365127563477,8.020766258239746,1.0850820936214589e-10,2.924525022506714,4.69631704618223e-05,0.24770411849021912,10.708930969238281,9.021659851074219,6.345405101776123,15.95831298828125,5.482635498046875,11.491188049316406,8.066679954528809,4.623653411865234,8.924497604370117,4.973649024963379,1.5897533893585205,0.0008587426273152232,9.130500793457031,14.464423179626465,9.07802677154541,2.6267032623291016,0.8993808031082153
superior parietal lobule,4.81068906932336e-10,8.27527904510498,1.5596897355862893e-06,6.297450542449951,6.327543087536469e-05,6.496882997453213e-05,1.478126883506775,2.082154651361634e-06,10.329376220703125,2.09116998348656e-13,3.499697476261332e-10,5.902865409851074,0.002744868164882064,8.413968086242676,4.249795436859131,6.728113174438477,8.11109447479248,7.580187797546387,6.132236957550049,6.757690906524658,0.0011120967101305723,7.328837871551514,8.810099672018623e-08,0.012008972465991974,0.048092320561409,10.62271499633789,6.920323371887207,0.008263670839369297,8.295393943786621,7.106838703155518
superior temporal gyrus,4.10249754168035e-08,0.013571062125265598,1.276410698890686,6.3234756453312e-07,4.347285270690918,7.14153575245291e-05,4.555152416229248,4.95933723449707,2.6245319843292236,5.421651840209961,5.1029863357543945,9.796610832214355,4.842841148376465,5.087148189544678,11.699560165405273,6.2841057777404785,6.450922012329102,4.060482978820801,8.764086723327637,0.4138645529747009,5.85053014755249,8.856947898864746,0.5584849119186401,2.8000237941741943,15.811115264892578,2.9290902148204623e-06,5.738495826721191,6.510528087615967,4.696772575378418,3.1979825496673584
supramarginal gyrus,6.84806445860886e-06,5.9130473136901855,0.001109207863919437,2.203022003173828,1.1521273851394653,3.8277055136592963e-11,13.950512886047363,0.0016533007146790624,0.7512573599815369,0.025543300434947014,0.09603897482156754,7.696812629699707,0.0024076546542346478,5.3307719230651855,6.184715270996094,10.934928894042969,7.67014217376709,5.003957271575928,14.745016098022461,4.540106773376465,5.073323726654053,4.420943737030029,7.527215473146498e-08,2.3797357082366943,12.35046100616455,3.4413061141967773,5.710381031036377,14.276490211486816,12.026994705200195,2.9258787631988525
temporal pole,1.2896383516647347e-08,0.0024299537762999535,5.139080047607422,2.1663005861805723e-13,8.645384788513184,0.00038785228389315307,4.686870098114014,6.855565071105957,2.6245319843292236,6.65598726272583,5.544865608215332,0.8133203387260437,4.934377670288086,4.5435380935668945,8.611350059509277,7.028271198272705,4.591014862060547,4.9924726486206055,9.22375774383545,0.0016108606941998005,5.939007759094238,5.9106645584106445,2.139242649078369,2.8000237941741943,0.07852623611688614,5.99295393584158e-14,1.8339893817901611,9.574227333068848,1.2049667835235596,6.784796376186806e-16
thalamus,0.00027923728339374065,0.0035956373903900385,4.259570598602295,1.2342591939121914e-21,3.85927152633667,0.00015439078561030328,3.54808867086831e-06,0.19884726405143738,2.1319048404693604,0.011454135179519653,0.00014638039283454418,8.567005352233537e-06,0.8329922556877136,2.2644317150115967,8.402256668205155e-09,0.8548901081085205,10.459019660949707,5.347286701202393,9.403983116149902,9.857009899860714e-06,0.6538147926330566,0.42740100622177124,4.722777843475342,4.312109470367432,0.11925449967384338,2.667828266567085e-05,8.810568809509277,3.905511039192788e-05,1.2637114465974264e-08,1.5596561431884766
transverse gyri,2.578329088009923e-07,1.51424914274223e-11,0.0019971844740211964,2.0128605084931495e-16,1.8621727576828562e-05,3.043624642885801e-15,3.903262040694244e-06,1.4303580522537231,0.038672808557748795,2.3109569724510948e-07,0.017391202971339226,9.796610832214355,4.156670456723077e-07,0.1019992083311081,9.13041877746582,4.748106221086346e-06,4.417972087860107,2.777334213256836,9.70139217376709,1.929412792378571e-05,0.10636505484580994,4.299872875213623,0.008761625736951828,0.04851130396127701,15.644227981567383,8.800379695805827e-12,1.118126392364502,8.812038868200034e-05,4.467198371887207,1.7667734622955322
